{'ratio': 100, 'chiN_hz': 5000.0, 'shape': 'lorentzian', 'xi2': 0.43213470169789814, 't': 6.161815809843169e-05, 'contrast': 0.8914775296063996, 'f_out': 0.2729237421557868, 'var_tot': 858578902.6491117, 'var_ii': 644018963.0131528, 'var_oo': 545814082.8625546, 'var_io': -331254143.226595, 'Jn': 4457388978.521082, 'J_i': 3472513786.0344315, 'J_o': 984881433.2971513, 'N_tot': 9999999999.999998, 'xi2_core': 0.3803001223117222, 'n_out': 2729237421.5578675}
{'ratio': 100, 'chiN_hz': 10000.0, 'shape': 'lorentzian', 'xi2': 0.3095692992827099, 't': 4.0809079049215844e-05, 'contrast': 0.8499967681089476, 'f_out': 0.16106585633360015, 'var_tot': 559156663.908546, 'var_ii': 489828987.94109154, 'var_oo': 303200952.2295828, 'var_io': -233873276.26213315, 'Jn': 4249989043.8878584, 'J_i': 3866525336.494341, 'J_o': 383493540.74372715, 'N_tot': 10000000000.0, 'xi2_core': 0.26978004247856024, 'n_out': 1610658563.3360016}
{'ratio': 100, 'chiN_hz': 20000.0, 'shape': 'lorentzian', 'xi2': 0.13478580257423942, 't': 9.766653943519849e-05, 'contrast': 0.931933586125904, 'f_out': 0.0769652800414955, 'var_tot': 292666824.1261463, 'var_ii': 254739183.3672049, 'var_oo': 143352233.32659566, 'var_io': -105424592.56765491, 'Jn': 4659772059.159418, 'J_i': 4513551936.977833, 'J_o': 164314759.36049178, 'N_tot': 9999999999.999998, 'xi2_core': 0.11517300754679746, 'n_out': 769652800.4149549}
{'ratio': 100, 'chiN_hz': 40000.0, 'shape': 'lorentzian', 'xi2': 0.10070425175641338, 't': 4.216619290025166e-05, 'contrast': 0.9638138761144895, 'f_out': 0.03602124163977139, 'var_tot': 233873527.60152006, 'var_ii': 211775212.52277994, 'var_oo': 65483701.33819556, 'var_io': -43385386.25944722, 'Jn': 4819107671.504381, 'J_i': 4731493067.161706, 'J_o': 92782219.19847351, 'N_tot': 10000000000.0, 'xi2_core': 0.09095565257462496, 'n_out': 360212416.3977139}
{'ratio': 100, 'chiN_hz': 80000.0, 'shape': 'lorentzian', 'xi2': 0.08427851226910217, 't': 1.733211007994273e-05, 'contrast': 0.9569923242384208, 'f_out': 0.020540711192982286, 'var_tot': 192964888.38432217, 'var_ii': 175265972.29037476, 'var_oo': 40433939.05347887, 'var_io': -22735022.959532175, 'Jn': 4784986490.839461, 'J_i': 4709659566.649376, 'J_o': 76478752.69077487, 'N_tot': 10000000000.0, 'xi2_core': 0.07722417464318934, 'n_out': 205407111.92982286}
{'ratio': 1000, 'chiN_hz': 5000.0, 'shape': 'lorentzian', 'xi2': 0.4225521545971659, 't': 6.161815809843169e-05, 'contrast': 0.891459401346953, 'f_out': 0.2729237421557868, 'var_tot': 839505354.7567897, 'var_ii': 629649280.651608, 'var_oo': 544061227.4241683, 'var_io': -334205153.318988, 'Jn': 4457297020.047232, 'J_i': 3472482464.0227523, 'J_o': 984814618.4654158, 'N_tot': 9999999999.999998, 'xi2_core': 0.37175997134389915, 'n_out': 2729237421.5578675}
{'ratio': 1000, 'chiN_hz': 10000.0, 'shape': 'lorentzian', 'xi2': 0.29493548054727714, 't': 4.0809079049215844e-05, 'contrast': 0.8499769300522886, 'f_out': 0.16106585633360015, 'var_tot': 532698307.5611043, 'var_ii': 466288532.5264964, 'var_oo': 302023366.1417606, 'var_io': -235613591.1071461, 'Jn': 4249884702.3226695, 'J_i': 3866464332.6710734, 'J_o': 383420668.1733262, 'N_tot': 10000000000.0, 'xi2_core': 0.25672624299478936, 'n_out': 1610658563.3360016}
{'ratio': 1000, 'chiN_hz': 20000.0, 'shape': 'lorentzian', 'xi2': 0.07591726178045224, 't': 0.00010448877013951858, 'contrast': 0.9331591972591955, 'f_out': 0.07696402252602509, 'var_tot': 165269303.97825527, 'var_ii': 131621071.24253464, 'var_oo': 159033402.30625254, 'var_io': -125385169.57052849, 'Jn': 4665796912.187891, 'J_i': 4498261824.15968, 'J_o': 167759108.2915028, 'N_tot': 9999999999.999998, 'xi2_core': 0.056477390523177746, 'n_out': 769640225.2602508}
{'ratio': 1000, 'chiN_hz': 40000.0, 'shape': 'lorentzian', 'xi2': 0.041684694951405976, 't': 4.849939087175214e-05, 'contrast': 0.9676186025635498, 'f_out': 0.03601975903815878, 'var_tot': 97571974.1649785, 'var_ii': 78037499.16091537, 'var_oo': 66122788.445753425, 'var_io': -46588313.441686444, 'Jn': 4838093221.812945, 'J_i': 4765416915.051882, 'J_o': 72783831.32643935, 'N_tot': 10000000000.000002, 'xi2_core': 0.032732332860991746, 'n_out': 360197590.38158786}
{'ratio': 1000, 'chiN_hz': 80000.0, 'shape': 'lorentzian', 'xi2': 0.027372696048118247, 't': 2.538104249265989e-05, 'contrast': 0.9803147974827946, 'f_out': 0.020539695209698332, 'var_tot': 65764074.75126505, 'var_ii': 59548219.07093716, 'var_oo': 38820835.16580386, 'var_io': -32604979.485485964, 'Jn': 4901574068.089544, 'J_i': 4866098791.96622, 'J_o': 35551223.96258451, 'N_tot': 10000000000.000002, 'xi2_core': 0.024428025651172566, 'n_out': 205396952.09698337}
{'ratio': 10000, 'chiN_hz': 5000.0, 'shape': 'lorentzian', 'xi2': 0.4215907780215134, 't': 6.161815809843169e-05, 'contrast': 0.8914592200450793, 'f_out': 0.2729237421557868, 'var_tot': 837594994.5124207, 'var_ii': 628208456.3726931, 'var_oo': 543885874.1544805, 'var_io': -334499336.0147558, 'Jn': 4457296100.358523, 'J_i': 3472482150.7559056, 'J_o': 984813950.2270294, 'N_tot': 9999999999.999998, 'xi2_core': 0.37090302188916396, 'n_out': 2729237421.5578675}
{'ratio': 10000, 'chiN_hz': 10000.0, 'shape': 'lorentzian', 'xi2': 0.29346658674644194, 't': 4.0809079049215844e-05, 'contrast': 0.8499767316670489, 'f_out': 0.16106585633360015, 'var_tot': 530045001.80527663, 'var_ii': 463926462.5448835, 'var_oo': 301905027.49744314, 'var_io': -235786488.23704693, 'Jn': 4249883658.8558598, 'J_i': 3866463722.5421934, 'J_o': 383419939.2989031, 'N_tot': 10000000000.0, 'xi2_core': 0.2554153959476753, 'n_out': 1610658563.3360016}
{'ratio': 10000, 'chiN_hz': 20000.0, 'shape': 'lorentzian', 'xi2': 0.06970101825387627, 't': 0.0001113110008438387, 'contrast': 0.9206583745390379, 'f_out': 0.0769640099503435, 'var_tot': 147698522.15467548, 'var_ii': 116132060.60860634, 'var_oo': 169375947.18136036, 'var_io': -137809485.63528553, 'Jn': 4603291886.252289, 'J_i': 4407848082.879212, 'J_o': 195446383.4603199, 'N_tot': 9999999999.999998, 'xi2_core': 0.04599406971640712, 'n_out': 769640099.5034348}
{'ratio': 10000, 'chiN_hz': 40000.0, 'shape': 'lorentzian', 'xi2': 0.03149285543148482, 't': 0.0001522443850697593, 'contrast': 0.9326855867808058, 'f_out': 0.03601974421170828, 'var_tot': 68489278.60183525, 'var_ii': 72488070.08809137, 'var_oo': 71828897.0795509, 'var_io': -75827688.56580293, 'Jn': 4663428001.884713, 'J_i': 4605122752.235012, 'J_o': 58415771.97976996, 'N_tot': 10000000000.0, 'xi2_core': 0.025741650439233214, 'n_out': 360197442.11708283}
{'ratio': 10000, 'chiN_hz': 80000.0, 'shape': 'lorentzian', 'xi2': 0.015080819279060052, 't': 7.719984732223817e-05, 'contrast': 0.9589861804229963, 'f_out': 0.020539685049611345, 'var_tot': 34672858.41100168, 'var_ii': 37258896.25927973, 'var_oo': 32131279.91408603, 'var_io': -34717317.762361, 'Jn': 4794930925.893597, 'J_i': 4787603991.0629635, 'J_o': 7578497.511049553, 'N_tot': 9999999999.999998, 'xi2_core': 0.015916251146459212, 'n_out': 205396850.49611342}
[decompose] 2641.5 s
saved /home/claude/work/yb-cawo4-cavity-squeezing/data/decompose.npz
